id	name	beatPartner	beatPregnant	beathaveChildren
50	Bangladesh	57.5	11	
76	Brazil	33	9.5	0
116	Cambodia	17.5	2.5	94.4
124	Canada	6	10	0
170	Colombia	44.1	12.8	0
214	Dominican Republic	22.3	6.2	90.1
231	Ethiopia	71	8	0
818	Egypt	34.4	0	89.5
332	Haiti	28.8	6.5	76.7
356	India	18.9	0	92
392	Japan	15	1	0
516	Namibia	36	6	72
554	New Zealand	38	0	0
558	Nicaragua	30.2	11.1	88.9
604	Peru	42.4	21.5	0
688	Serbia	24	3	0
764	Thailand	44	4	0
818	Egypt		11.1	0	0
834	Tanzania	47.5	9.5	0
840	United States	21	8	0
882	Samoa	46	10	0